region;city;cat;comerc;object;mark
Свердловская область;Екатеринбург;Культурный отдых;да;Театр юного зрителя;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Музей-театр Барабанный дом;4,5
Свердловская область;Екатеринбург;Культурный отдых;да;Уральский государственный театр эстрады;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Молодёжный театр-студия Галерка;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Театр балета Щелкунчик;4,7
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Тургенев;4,7
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильская филармония;4,6
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;4,8
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Провинциальные танцы;5,0
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;4,8
Свердловская область;Екатеринбург;Семейный отдых;да;Океанариум;4,6
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;4,4
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад;4,6
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр;4,5
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух;5,0
Свердловская область;Екатеринбург;Развлечение;да;Квеструм Авантюра;4,8
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;4,5
Свердловская область;Екатеринбург;Музеи;да;Центр искусств Главный проспект;5,0
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургская галерея современного искусства;4,7
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;4,7
Свердловская область;Екатеринбург;Музеи;да;Галерея декоративно прикладного искусства Арт-Птица;4,5
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;4,7
Свердловская область;Екатеринбург;Музеи;да;Музей истории камнерезного и ювелирного искусства;4,6
Свердловская область;Нижний Тагил;Музеи;да;Музей Уралвагонзавода;4,8
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;4,6
Свердловская область;Екатеринбург;Музеи;да;Музей Бажова;4,7
Свердловская область;Екатеринбург;Музеи;да;Музей радио им Попова;4,7
Свердловская область;Екатеринбург;Музеи;да;Музей Невьянская икона;4,8
Свердловская область;Ирбит;Музеи;да;Ирбитский музей мотоциклов;4,6
Свердловская область;Нижний Тагил;Музеи;да;Историко-краеведческий музей;4,7
Свердловская область;Екатеринбург;Музеи;да;Свердловский областной краеведческий музей;4,6
Свердловская область;Екатеринбург;Музеи;да;Музей природы;4,7
Свердловская область;Ивдель;Музеи;да;Ивдельский историко-этнографический музей им Уварова;4,8
Свердловская область;Екатеринбург;Музеи;да;Музей горной техники;[
Свердловская область;Алапаевск;Музеи;да;Дом-музей Чайковского;4,8
Свердловская область;Екатеринбург;Музеи;да;Музей архетиктуры и дизайна;4,7
Свердловская область;Нижний Тагил;Музеи;да;Музей Демидовская дача;4,7
Свердловская область;Екатеринбург;Музеи;да;Историко-технический музей Дом Черепановых;4,6
Свердловская область;Нижняя Синячиха;Музеи;да;Нижнесинячихинский музей-заповедник деревянного зодчества и народного искусства им Самойлова;4,8
Свердловская область;Нижний Тагил;Музеи;да;Музей-завод истории развития техники черной металлургии;4,6
Свердловская область;Березовский;Музеи;да;Березовский музей золота;4,4
Свердловская область;Екатеринбург;Музеи;да;Музей святой царской семьи;4,5
Свердловская область;Екатеринбург;Семейный отдых;да;Newton park;4,6
Свердловская область;Верхотурье;Музеи;да;Верхотурский государственный историко-архитектурный музей-заповедник;4,6
Свердловская область;Полевской;Музеи;да;Музейный комплекс Северская домна;4,6
