region;city;cat;comerc;object;mark;date
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-02
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;4;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-01
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-01
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;4;2020-03
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;5;2020-03
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;5;2020-02
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;1;2020-03
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-03
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-03
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-02
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;3;2020-03
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;5;2020-02
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;5;2020-02
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;3;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;4;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;4;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;4;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-02
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Екатеринбургский театр кукол;5;2020-01
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-03
Свердловская область;Екатеринбург;Культурный отдых;да;Театр Волхонка;5;2020-02
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-02
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;4;2020-02
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-01
Свердловская область;Нижний Тагил;Культурный отдых;да;Нижнетагильский драматический театр им. Д. Мамина-Сибиряка;5;2020-01
