region;city;cat;comerc;object;mark;date;mark_id
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;4;2020-02;108715659352805847738
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-02;101819571219377293252
Свердловская область;Екатеринбург;Семейный отдых;да;Аквапарк Лимпопо;5;2020-02;114334864953487340531
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;4;2020-04;103480934329709291550
Свердловская область;Екатеринбург;Музеи;да;Водонапорная башня на Плотинке;5;2020-04;117222033089163026096
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-04;113087037701830662228
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-04;112512794759218800613
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;4;2020-03;100164107114095557871
Свердловская область;Екатеринбург;Архитектура;нет;Белая башня;1;2020-03;104772124278481718560
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;3;2020-04;107921527188824334849
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;5;2020-03;114862587227171475075
Свердловская область;Екатеринбург;Архитектура;нет;Усадьба Расторгуева-Харитонова;5;2020-03;110715654725790199537
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-04;102873047335603389315
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;5;2020-03;115126372674458233468
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-02;108445178245790652383
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-02;105381992236414941014
Свердловская область;Екатеринбург;Культурный отдых;да;Театр оперы и балета;3;2020-02;108858019927040849924
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-03;110149585742166148955
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-02;115575884862872050648
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-02;105776113478014697031
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;3;2020-02;114216341333605370456
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр музыкальной комедии;5;2020-02;118019885859643576250
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-04;103578662462718657582
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;4;2020-03;118104849710675906825
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03;113171875687213303919
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03;107735290050065707145
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03;113356127662691065449
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-03;100166260069057080655
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02;117690451858992383769
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловский государственный академический театр драмы;5;2020-02;110867606771050423895
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;5;2020-04;114847528541884319033
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;4;2020-03;105993195962103278081
Свердловская область;Екатеринбург;Культурный отдых;да;Свердловская Государственная Филармония;5;2020-03;116438321841788756734
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-04;115324734512119957951
Свердловская область;Екатеринбург;Культурный отдых;да;Коляда-театр;5;2020-04;107173715597819559967
